NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Mo Alie-Cox,3.0,1.8,0.0,0.0,0.0,2.6,1.6,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.6,11.0,5.2,IND
Moliki Matavao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,NO
Nate Adkins,0.0,0.0,0.0,2.5,0.0,10.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN
Nick Vannett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR
Nikola Kalinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI
Noah Fant,12.6,5.8,5.6,0.0,0.0,6.7,14.4,7.1,10.8,0.0,6.6,1.9,1.3,2.5,0.0,0.0,0.0,-0.5,CIN
Noah Gray,1.3,1.1,4.7,1.1,0.0,4.5,3.8,4.3,0.0,0.0,2.9,5.5,0.0,2.4,0.0,0.0,1.2,6.0,KC
Oronde Gadsden,0.0,0.0,9.6,3.6,2.4,11.8,29.4,18.7,11.8,4.3,6.1,0.0,3.7,1.7,10.1,1.7,12.2,4.3,LAC
Pat Freiermuth,5.8,6.1,1.6,0.0,0.0,2.1,28.1,4.3,11.7,6.3,2.9,10.9,0.0,2.9,7.5,6.0,9.3,8.1,PIT
Payne Durham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,TB
Pharaoh Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,ARI
Quintin Morris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.4,0.0,4.0,1.5,0.0,7.5,JAX
Robert Tonyan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC
Sal Cannella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,CLE
Sean McKeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND
